Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Ankur Warikoo,"Ankur Warikoo is an Indian YouTuber, entrepreneur and author.",https://en.wikipedia.org/wiki/Ankur_Warikoo,//www.instagram.com/ankurwarikoo,//www.twitter.com/warikoo,,
Andy Puddicombe,"Andy Puddicombe is a British author, public speaker and a teacher of meditation and mindfulness.",https://en.wikipedia.org/wiki/Andy_Puddicombe,//www.instagram.com/andypuddicombe,//www.twitter.com/andypuddicombe,,
Andy Frisella,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/andyfrisella,,,
Andy Cohen,"Andy Cohen is an American radio and television talk show host, producer, and writer.",https://en.wikipedia.org/wiki/Andy_Cohen,//www.instagram.com/bravoandy,//www.twitter.com/Andy,,
Andrew Wilkow,Andrew Wilkow is a conservative political talk radio host.,https://en.wikipedia.org/wiki/Andrew_Wilkow,//www.instagram.com/andrew_wilkow,//www.twitter.com/AndrewWilkow,,
Andrew Klavan,Andrew Klavan is an American writer of crime and suspense novels and a conservative commentator.,https://en.wikipedia.org/wiki/Andrew_Klavan,//www.instagram.com/theandrewklavan,//www.twitter.com/andrewklavan,,
Ana Navarro,Ana Navarro is a Nicaraguan-American political strategist and commentator.,https://en.wikipedia.org/wiki/Ana_Navarro,//www.instagram.com/ananavarrofl,//www.twitter.com/ananavarro,,
Alanis Morissette,"Alanis Morissette is a Canadian-American singer, songwriter, and actress.",https://en.wikipedia.org/wiki/Alanis_Morissette,//www.instagram.com/alanis,//www.twitter.com/Alanis,,
Alastair Humphreys,"Alastair Humphreys is an English adventurer, author and motivational speaker.",https://en.wikipedia.org/wiki/Alastair_Humphreys,//www.instagram.com/al_humphreys,//www.twitter.com/Al_Humphreys,,
Guillermo del Toro,"Guillermo del Toro is a Mexican filmmaker, author, actor, and former special effects makeup artist.",https://en.wikipedia.org/wiki/Guillermo_del_Toro,//www.instagram.com/realgdt,//www.twitter.com/RealGDT,,
Tom Holland,Tom Holland is an English author.,https://en.wikipedia.org/wiki/Tom_Holland_(author),,//www.twitter.com/holland_tom,,
Tucker Carlson,"Tucker Carlson is an American television host, conservative political commentator and writer.",https://en.wikipedia.org/wiki/Tucker_Carlson,//www.instagram.com/tuckercarlsontonight,//www.twitter.com/TuckerCarlson,,
Greg Norman,Greg Norman is an Australian professional golfer and entrepreneur.,https://en.wikipedia.org/wiki/Greg_Norman,//www.instagram.com/shark_gregnorman,//www.twitter.com/SharkGregNorman,,
Twinkle Khanna,"Twinkle Khanna is an Indian author, columnist, interior designer, film producer and a former film actress.",https://en.wikipedia.org/wiki/Twinkle_Khanna,//www.instagram.com/twinklerkhanna,//www.twitter.com/mrsfunnybones,,
Virat Kohli,Virat Kohli is an Indian international cricketer and former captain of the Indian national team.,https://en.wikipedia.org/wiki/Virat_Kohli,//www.instagram.com/virat.kohli,//www.twitter.com/imVkohli,,
James Clear,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/jamesclear,//www.twitter.com/JamesClear,,
Glenn Beck,"Glenn Beck is an American conservative political commentator, radio host, television producer, and conspiracy theorist.",https://en.wikipedia.org/wiki/Glenn_Beck,//www.instagram.com/glennbeck,//www.twitter.com/glennbeck,,
Jack Edwards,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/jackbenedwards,//www.twitter.com/jackbenedwards,,
Randall Carlson,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,,,
Saagar Enjeti,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/esaagar,//www.twitter.com/esaagar,,
Lee Stranahan,Lee Stranahan is an American journalist and broadcaster.,https://en.wikipedia.org/wiki/Lee_Stranahan,//www.instagram.com/stranahan,//www.twitter.com/stranahan,,
George Bush,George Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009.,https://en.wikipedia.org/wiki/George_W._Bush,//www.instagram.com/georgewbush,,,
Brad Thor,Brad Thor is an American thriller novelist.,https://en.wikipedia.org/wiki/Brad_Thor,//www.instagram.com/realbradthor,//www.twitter.com/BradThor,,
Geoff Ralston,Geoff Ralston is the President of Y Combinator.,https://en.wikipedia.org/wiki/Geoff_Ralston,,//www.twitter.com/gralston,,
Levar Burton,"Levar Burton is an American actor, director, and television host.",https://en.wikipedia.org/wiki/LeVar_Burton,//www.instagram.com/levar.burton,//www.twitter.com/levarburton,,
Lyn Alden,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/lynalden__,//www.twitter.com/LynAldenContact,,
Gary Keller,"Gary Keller is the founder of Keller Williams, which is the largest real estate company in the world by agent count, closed sales volume, and units sold Wikipedia.",https://en.wikipedia.org/wiki/Gary_W._Keller,,//www.twitter.com/garykeller,,
Douglas Murray,Douglas Murray is a British author and political commentator.,https://en.wikipedia.org/wiki/Douglas_Murray_(author),//www.instagram.com/douglaskmurray,//www.twitter.com/DouglasKMurray,,
Gabby Reece,"Gabby Reece is an American professional volleyball player, sports announcer, fashion model and actress.",https://en.wikipedia.org/wiki/Gabrielle_Reece,//www.instagram.com/gabbyreece,//www.twitter.com/GabbyReece,,
John Doerr,John Doerr is an American investor and venture capitalist at Kleiner Perkins.,https://en.wikipedia.org/wiki/John_Doerr,,//www.twitter.com/johndoerr,,
Matthew McConaughey,Matthew McConaughey is an American actor and producer.,https://en.wikipedia.org/wiki/Matthew_McConaughey,//www.instagram.com/officiallymcconaughey,//www.twitter.com/McConaughey,,
Brad Feld,"Brad Feld is an American entrepreneur, author, blogger, and venture capitalist.",https://en.wikipedia.org/wiki/Brad_Feld,//www.instagram.com/bradfeld,//www.twitter.com/bfeld,,
Fedor Holz,Fedor Holz is a German professional poker player from Saarbrücken who focuses on high roller tournaments.,https://en.wikipedia.org/wiki/Fedor_Holz,//www.instagram.com/fedorholz,//www.twitter.com/CrownUpGuy,,
Daniel Kahneman,Daniel Kahneman is an Israeli-American psychologist and economist.,https://en.wikipedia.org/wiki/Daniel_Kahneman,,,,
Sara Blakely,"Sara Blakely is an American businesswoman, entrepreneur, and philanthropist.",https://en.wikipedia.org/wiki/Sara_Blakely,//www.instagram.com/sarablakely,,,
Marty Cagan,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/cagan,,
Michael Hyatt,"Michael Hyatt is an author, podcaster, blogger, speaker, and the CEO and founder of Michael Hyatt & Company.",https://en.wikipedia.org/wiki/Michael_S._Hyatt,//www.instagram.com/michaelhyatt,//www.twitter.com/MichaelHyatt,,
Matthew Yglesias,Matthew Yglesias is an American blogger and journalist who writes about economics and politics.,https://en.wikipedia.org/wiki/Matthew_Yglesias,//www.instagram.com/mattyglesias,//www.twitter.com/mattyglesias,,
Rand Paul,Rand Paul is an American physician and politician serving as the junior United States senator from Kentucky.,https://en.wikipedia.org/wiki/Rand_Paul,//www.instagram.com/drrandpaul,//www.twitter.com/RandPaul,,
Alistair Begg,Alistair Begg is the senior pastor of Cleveland's Parkside Church.,https://en.wikipedia.org/wiki/Alistair_Begg,//www.instagram.com/alistair_begg_truthforlife,//www.twitter.com/AlistairBegg,,
Brad Delong,Brad Delong is an economic historian who is a professor of economics.,https://en.wikipedia.org/wiki/J._Bradford_DeLong,,//www.twitter.com/delong,,
Esther Dyson,"Esther Dyson is a Swiss-born American journalist, author, businesswoman, investor, commentator and philanthropist.",https://en.wikipedia.org/wiki/Esther_Dyson,//www.instagram.com/estherdyson,//www.twitter.com/edyson,,
Jack Ma,"Jack Ma is a Chinese business magnate, investor and philanthropist.",https://en.wikipedia.org/wiki/Jack_Ma,//www.instagram.com/jackma_alibaba,//www.twitter.com/JackMa,,
Adam Tooze,Adam Tooze is an English historian who is a professor at Columbia University.,https://en.wikipedia.org/wiki/Adam_Tooze,,//www.twitter.com/adam_tooze,,
Adam Neely,"Adam Neely is an American YouTuber, bassist, and composer.",https://en.wikipedia.org/wiki/Adam_Neely,//www.instagram.com/its_adamneely,//www.twitter.com/its_adamneely,,
Aaron Doughty,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/aarondoughty44,//www.twitter.com/aaron_doughty44,,
Rupert Murdoch,Rupert Murdoch is an Australian-born American business magnate.,https://en.wikipedia.org/wiki/Rupert_Murdoch,,//www.twitter.com/rupertmurdoch,,
Vlad Zamfir,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/VladZamfir,,
Emma Stone,Emma Stone is an American actress.,https://en.wikipedia.org/wiki/Emma_Stone,,,,
Phil Knight,Phil Knight the co-founder and chairman emeritus of Nike.,https://en.wikipedia.org/wiki/Phil_Knight,,,,
Emily Ratajkowski,Emily Ratajkowski is an American model and actress.,https://en.wikipedia.org/wiki/Emily_Ratajkowski,//www.instagram.com/emrata,//www.twitter.com/emrata,,
Michael Dell,"Michael Dell is the founder, chairman, and CEO of Dell Technologies.",https://en.wikipedia.org/wiki/Michael_Dell,//www.instagram.com/michaeldell,//www.twitter.com/MichaelDell,,
Jensen Huang,"Jensen Huang is the co-founder, current president, and CEO of Nvidia Corporation.",https://en.wikipedia.org/wiki/Jensen_Huang,,,,
Vince Vaughn,"Vince Vaughn is an American actor, producer, screenwriter and comedian.",https://en.wikipedia.org/wiki/Vince_Vaughn,,//www.twitter.com/WildWest,,
Carlos Slim,"Carlos Slim Helú is a Mexican business magnate, investor, and philanthropist.",https://en.wikipedia.org/wiki/Carlos_Slim,,,,
Veronica Belmont,Veronica Belmont is an online media personality.,https://en.wikipedia.org/wiki/Veronica_Belmont,//www.instagram.com/veronica,//www.twitter.com/Veronica,,
Ali Abdaal,"Ali Abdaal is a YouTuber, podcaster, soon-to-be author and ex-Doctor working in London.",,//www.instagram.com/AliAbdaal,//www.twitter.com/AliAbdaal,,
Elizabeth Warren,Elizabeth Warren is an American politician and lawyer serving as the senior United States Senator from Massachusetts since 2013.,https://en.wikipedia.org/wiki/Elizabeth_Warren,//www.instagram.com/elizabethwarren,//www.twitter.com/SenWarren,,
Steph Pilavin,Steph Pilavin (starrysteph) is one of the top BookTokers in the world.,,//www.instagram.com/starry.steph,//www.twitter.com/starrysteph_,,
Elad Gil,"Elad Gil is a serial entrepreneur, operating executive, and investor or advisor to private companies.",,//www.instagram.com/eladgil,//www.twitter.com/eladgil,,
Lupita Aquino,Lupita Aquino (Lupita_Reads) is one of the top BookTokers in the world.,,//www.instagram.com/lupita.reads,//www.twitter.com/Lupita_Reads,,
Jaysen Headley,Jaysen Headley (ezeekat) is one of the top BookTokers in the world.,,//www.instagram.com/ezeekat,//www.twitter.com/Ezeekat,,
Tracy DiNunzio,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/tracydinunzio,//www.twitter.com/TracyDiNunzio,,
Debra Akins,Debra Akins (debrakelsey) is one of the top BookTokers in the world.,,//www.instagram.com/debrakelsey,,,
Blake Randall,Blake Randall (blake_bookclub) is one of the top BookTokers in the world.,,//www.instagram.com/blake_bookclub,//www.twitter.com/blake_bookclub,,
Ed Catmull,Ed Catmull is a retired American computer scientist and former president of Pixar and Walt Disney Animation Studios.,https://en.wikipedia.org/wiki/Edwin_Catmull,,//www.twitter.com/edcatmull,,
Aaliyah,Aaliyah (aaliyahreadss) is one of the top BookTokers in the world.,,//www.instagram.com/aaliyahreadss,,,
Tommy Vietor,Tommy Vietor is an American political commentator and podcaster.,https://en.wikipedia.org/wiki/Tommy_Vietor,,//www.twitter.com/TVietor08,,
Serena Izzo,Serena Izzo (ideserveabook) is one of the top BookTokers in the world.,,//www.instagram.com/ideserveabook,,,
Danny Miranda,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/dbasmn,//www.twitter.com/heydannymiranda,,
Brian Dean,Brian Dean is an entrepreneur and founder of Exploding Topics.,,,//www.twitter.com/BrianEDean,,
Dr. Phil Zimbardo,Philip Zimbardo is an American psychologist and a professor emeritus at Stanford University.,https://en.wikipedia.org/wiki/Philip_Zimbardo,//www.instagram.com/philip_zimbardo,//www.twitter.com/PhilZimbardo,,
Alex Hormozi,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/hormozi,//www.twitter.com/AlexHormozi,,
Dr. Martin Gibala,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/gibalam,,
Trung Phan,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/TrungTPhan,,
Jodie Cook,Jodie Cook is an entrepreneur and author.,https://en.wikipedia.org/wiki/Jodie_Cook,//www.instagram.com/jodie.cook_,//www.twitter.com/cookiewhirls,,
Vitalik Buterin,Vitalik Buterin is a programmer and writer who is best known as one of the co-founders of Ethereum.,https://en.wikipedia.org/wiki/Vitalik_Buterin,,//www.twitter.com/VitalikButerin,,
Terry Laughlin,Terrence Laughlin was an American swimming coach and founder of Total Immersion.,https://en.wikipedia.org/wiki/Terry_Laughlin,,//www.twitter.com/TISWIM,,
Pavel Durov,Pavel Durov is the founder of Telegram.,https://en.wikipedia.org/wiki/Pavel_Durov,//www.instagram.com/durov,//www.twitter.com/durov,,
Ed Sheeran,"Ed Sheeran is an English singer-songwriter, record producer, musician, and actor.",https://en.wikipedia.org/wiki/Ed_Sheeran,//www.instagram.com/teddysphotos,//www.twitter.com/edsheeran,,
Dorian Yates,Dorian Yates is an English former professional bodybuilder.,https://en.wikipedia.org/wiki/Dorian_Yates,//www.instagram.com/thedorianyates,//www.twitter.com/Dorian_Yates,,
Tim Keller,"Tim Keller is an American pastor, theologian, and Christian apologist.",https://en.wikipedia.org/wiki/Tim_Keller_(pastor),//www.instagram.com/timkellernyc,//www.twitter.com/timkellernyc,,
Tavi Gevinson,"Tavi Gevinson is an American actress, writer, and magazine editor.",https://en.wikipedia.org/wiki/Tavi_Gevinson,//www.instagram.com/tavitulle,//www.twitter.com/tavitulle,,
Sarah Jessica Parker,Sarah Jessica Parker is an American actress and producer.,https://en.wikipedia.org/wiki/Sarah_Jessica_Parker,//www.instagram.com/sarahjessicaparker,//www.twitter.com/SJP,,
Penn Jillette,"Penn Jillette is an American magician, actor, musician, inventor, television presenter, and author, best known for his work with fellow magician Teller as half of the team Penn & Teller.",https://en.wikipedia.org/wiki/Penn_Jillette,,//www.twitter.com/pennjillette,,
Don Cheadle,"Don Cheadle is an American actor, author, director, producer and writer.",https://en.wikipedia.org/wiki/Don_Cheadle,//www.instagram.com/doncheadle,//www.twitter.com/DonCheadle,,
Nancy Pearl,"Nancy Pearl is an American librarian, best-selling author, literary critic and the former Executive Director of the Washington Center for the Book at Seattle Public Library.",https://en.wikipedia.org/wiki/Nancy_Pearl,//www.instagram.com/nancy_pearl_books,//www.twitter.com/Nancy_Pearl,,
Strauss Zelnick,"Strauss Zelnick is the founder, chief executive officer (CEO) and managing partner of private equity firm ZMC.",https://en.wikipedia.org/wiki/Strauss_Zelnick,//www.instagram.com/strausszelnick,//www.twitter.com/strausszelnick,,
Joe Maddon,Joe Maddon is an American professional baseball manager for the Los Angeles Angels of Major League Baseball (MLB).,https://en.wikipedia.org/wiki/Joe_Maddon,//www.instagram.com/maddhalos,//www.twitter.com/MaddHalos,,
Jim Carrey,"Jim Carrey is a Canadian-American actor, comedian, writer, and producer.",https://en.wikipedia.org/wiki/Jim_Carrey,,//www.twitter.com/JimCarrey,,
Jen Sincero,"Jen Sincero is an American writer, speaker and success coach.",https://en.wikipedia.org/wiki/Jen_Sincero,//www.instagram.com/jensincero,//www.twitter.com/JenSincero,,
Diddy,"Sean ""Diddy"" Combs is an American rapper, singer, record producer, entrepreneur, record executive, and actor.",https://en.wikipedia.org/wiki/Sean_Combs,//www.instagram.com/diddy,//www.twitter.com/Diddy,,
Jay-Z,"Jay-Z is an American rapper, songwriter, record executive, businessman, and media proprietor.",https://en.wikipedia.org/wiki/Jay-Z,,//www.twitter.com/sc,,
Dick Costolo,Dick Costolo was the CEO of Twitter from 2010 to 2015.,https://en.wikipedia.org/wiki/Dick_Costolo,//www.instagram.com/costolo,//www.twitter.com/dickc,,
Howard Stern,"Howard Stern is an American radio and television personality, comedian, and author.",https://en.wikipedia.org/wiki/Howard_Stern,//www.instagram.com/sternshow,//www.twitter.com/HowardStern,,
Hoda Kotb,"Hoda Kotb is an Egyptian American broadcast journalist, television personality, and author.",https://en.wikipedia.org/wiki/Hoda_Kotb,//www.instagram.com/hodakotb,//www.twitter.com/hodakotb,,
George R. R. Martin,George R.,https://en.wikipedia.org/wiki/George_R._R._Martin,,//www.twitter.com/GRRMspeaking,,
Deepak Chopra,Deepak Chopra is an Indian-born American author and alternative-medicine advocate.,https://en.wikipedia.org/wiki/Deepak_Chopra,//www.instagram.com/deepakchopra,//www.twitter.com/DeepakChopra,,
Diane Rehm,Diane Rehm is an American journalist and the host of Diane Rehm: On My Mind podcast.,https://en.wikipedia.org/wiki/Diane_Rehm,,//www.twitter.com/drshow,,
Stanley McChrystal,Stanley McChrystal is a retired United States Army general and partner and founder at the McChrystal Group.,https://en.wikipedia.org/wiki/Stanley_A._McChrystal,,//www.twitter.com/StanMcChrystal,,
David Sedaris,"David Sedaris is an American humorist, comedian, author, and radio contributor.",https://en.wikipedia.org/wiki/David_Sedaris,//www.instagram.com/davidsedarisbooks,//www.twitter.com/DavidSedaris,,
Brandon Sanderson,Brandon Sanderson is an American author of epic fantasy and science fiction.,https://en.wikipedia.org/wiki/Brandon_Sanderson,//www.instagram.com/brandsanderson,//www.twitter.com/BrandSanderson,,
David Sabatini,David Sabatini is an American scientist and Professor of Biology at MIT.,https://en.wikipedia.org/wiki/David_M._Sabatini,,//www.twitter.com/DMSabatini,,
Ann Patchett,Ann Patchett is an American author.,https://en.wikipedia.org/wiki/Ann_Patchett,,,,
Winston Churchill,"Winston Churchill was a British statesman who served as Prime Minister of the United Kingdom from 1940 to 1945, during the Second World War, and again from 1951 to 1955.",https://en.wikipedia.org/wiki/Winston_Churchill,,,,
Tom Keene,"Tom Keene is a host of Bloomberg Surveillance on Bloomberg Radio, Bloomberg Television and Bloomberg Podcasts.",https://en.wikipedia.org/wiki/Tom_Keene_(radio_host),,//www.twitter.com/tomkeene,,
Sid Meier,"Sid Meier is a Canadian-American programmer, designer, and producer of several strategy video games and simulation video games, including the Civilization series.",https://en.wikipedia.org/wiki/Sid_Meier,,//www.twitter.com/sid_meier,,
David Copperfield,"David Copperfield is an American magician, described by Forbes as the most commercially successful magician in history.",https://en.wikipedia.org/wiki/David_Copperfield_(illusionist),//www.instagram.com/d_copperfield,//www.twitter.com/D_Copperfield,,
Tom Hanks,Tom Hanks is an American actor and filmmaker.,https://en.wikipedia.org/wiki/Tom_Hanks,//www.instagram.com/tomhanks,//www.twitter.com/tomhanks,,
T. D. Jakes,T.,https://en.wikipedia.org/wiki/T._D._Jakes,//www.instagram.com/bishopjakes,//www.twitter.com/BishopJakes,,
Shaun White,"Shaun White is an American professional snowboarder, skateboarder and musician.",https://en.wikipedia.org/wiki/Shaun_White,//www.instagram.com/shaunwhite,//www.twitter.com/shaunwhite,,
Stephen Fry,"Stephen Fry is an English actor, broadcaster, comedian, director and writer.",https://en.wikipedia.org/wiki/Stephen_Fry,//www.instagram.com/stephenfryactually,//www.twitter.com/stephenfry,,
Sharon Salzberg,Sharon Salzberg is a New York Times Best selling author and teacher of Buddhist meditation practices in the West.,https://en.wikipedia.org/wiki/Sharon_Salzberg,//www.instagram.com/sharonsalzberg,//www.twitter.com/SharonSalzberg,,
Simon Mayo,Simon Mayo is an English radio presenter and author who has worked for BBC Radio since 1982.,https://en.wikipedia.org/wiki/Simon_Mayo,,//www.twitter.com/simonmayo,,
Shonda Rhimes,"Shonda Rhimes is an American television producer, screenwriter, and author.",https://en.wikipedia.org/wiki/Shonda_Rhimes,//www.instagram.com/shondarhimes,//www.twitter.com/shondarhimes,,
Sean Hannity,Sean Hannity is an American talk show host and conservative political commentator.,https://en.wikipedia.org/wiki/Sean_Hannity,//www.instagram.com/seanhannity,//www.twitter.com/seanhannity,,
Salman Rushdie,Salman Rushdie is an Indian-born British-American novelist and essayist.,https://en.wikipedia.org/wiki/Salman_Rushdie,,//www.twitter.com/SalmanRushdie,,
Russell Moore,"Russell Moore is an American theologian, ethicist, and preacher.",https://en.wikipedia.org/wiki/Russell_D._Moore,//www.instagram.com/russellmoore,//www.twitter.com/drmoore,,
Danielle Teller,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,,,
Ron Paul,"Ron Paul is an American author, physician, and retired politician who served as the U.",https://en.wikipedia.org/wiki/Ron_Paul,//www.instagram.com/drronpaul,//www.twitter.com/RonPaul,,
Sebastian Junger,"Sebastian Junger is an American journalist, author and filmmaker.",https://en.wikipedia.org/wiki/Sebastian_Junger,,//www.twitter.com/sebastianjunger,,
Paulo Coelho,Paulo Coelho is a Brazilian lyricist and novelist.,https://en.wikipedia.org/wiki/Paulo_Coelho,//www.instagram.com/paulocoelho,//www.twitter.com/paulocoelho,,
Daniel Negreanu,Daniel Negreanu is a Canadian-Romanian professional poker player.,https://en.wikipedia.org/wiki/Daniel_Negreanu,//www.instagram.com/dnegspoker,//www.twitter.com/RealKidPoker,,
Nelson Mandela,"Nelson Mandela was a South African anti-apartheid revolutionary, statesman and philanthropist who served as President of South Africa.",https://en.wikipedia.org/wiki/Nelson_Mandela,,//www.twitter.com/NelsonMandela,,
Mindy Kaling,"Mindy Kaling is an American actress, comedian, writer, producer and director.",https://en.wikipedia.org/wiki/Mindy_Kaling,//www.instagram.com/mindykaling,//www.twitter.com/mindykaling,,
Dan Gable,Dan Gable is an American former folkstyle and freestyle wrestler and coach.,https://en.wikipedia.org/wiki/Dan_Gable,,//www.twitter.com/dannygable,,
Meg Cabot,Meg Cabot is a prolific American novelist.,https://en.wikipedia.org/wiki/Meg_Cabot,//www.instagram.com/officialmegcabot,//www.twitter.com/megcabot,,
Sarah Lewis,Sarah Lewis is an assistant professor of history of art and architecture and African and African-American studies at Harvard University.,https://en.wikipedia.org/wiki/Sarah_Lewis_(professor),//www.instagram.com/sarahelizabethlewis1,//www.twitter.com/sarahelizalewis,,
Dan Engle,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/drdanengle,//www.twitter.com/drdanengle,,
Maya Angelou,"Maya Angelou was an American poet, memoirist, and civil rights activist.",https://en.wikipedia.org/wiki/Maya_Angelou,,,,
Samy Kamkar,"Samy Kamkar is an American privacy and security researcher, computer hacker, whistleblower and entrepreneur.",https://en.wikipedia.org/wiki/Samy_Kamkar,,//www.twitter.com/samykamkar,,
Dan Ariely,Dan Ariely is an Israeli-American professor and author.,https://en.wikipedia.org/wiki/Dan_Ariely,//www.instagram.com/danariely,//www.twitter.com/danariely,,
Marie Lu,Marie Lu is an American young adult author.,https://en.wikipedia.org/wiki/Marie_Lu,//www.instagram.com/marieluthewriter,//www.twitter.com/Marie_Lu,,
Margaret Atwood,"Margaret Atwood is a Canadian poet, novelist, literary critic, essayist, teacher, environmental activist, and inventor.",https://en.wikipedia.org/wiki/Margaret_Atwood,//www.instagram.com/therealmargaretatwood,//www.twitter.com/MargaretAtwood,,
Kurt Cobain,Kurt Cobain was the frontman of the rock band Nirvana.,https://en.wikipedia.org/wiki/Kurt_Cobain,,,,
Cindy Eckert,Cindy Eckert is an American entrepreneur who built and sold two pharmaceutical companies.,https://en.wikipedia.org/wiki/Cindy_Eckert,//www.instagram.com/cindypinkceo,//www.twitter.com/cindypinkceo,,
Jennifer Lopez,"Jennifer Lopez is an American singer, actress, and dancer.",https://en.wikipedia.org/wiki/Jennifer_Lopez,//www.instagram.com/jlo,//www.twitter.com/JLo,,
Christopher Sommer,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/christophersommer1,//www.twitter.com/GymnasticBodies,,
Edgar Wright,"Edgar Wright is an English film director, screenwriter and producer.",https://en.wikipedia.org/wiki/Edgar_Wright,//www.instagram.com/edgarwright,//www.twitter.com/edgarwright,,
Derren Brown,"Derren Brown is an English mentalist, illusionist, painter, and author.",https://en.wikipedia.org/wiki/Derren_Brown,//www.instagram.com/derrenbrown,//www.twitter.com/DerrenBrown,,
Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie is a Nigerian writer whose works range from novels to short stories to nonfiction.,https://en.wikipedia.org/wiki/Chimamanda_Ngozi_Adichie,//www.instagram.com/chimamanda_adichie,//www.twitter.com/ChimamandaReal,,
Chris Fussell,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/FussellChris,,
Laurell K. Hamilton,Laurell K.,https://en.wikipedia.org/wiki/Laurell_K._Hamilton,//www.instagram.com/official_lkhamilton,//www.twitter.com/LKHamilton,,
Judy Blume,"Judy Blume is an American writer of children's, young adult and adult fiction.",https://en.wikipedia.org/wiki/Judy_Blume,//www.instagram.com/judyblume,//www.twitter.com/judyblume,,
Chloë Grace Moretz,Chloë Grace Moretz is an American actress.,https://en.wikipedia.org/wiki/Chlo%C3%AB_Grace_Moretz,//www.instagram.com/chloegmoretz,//www.twitter.com/ChloeGMoretz,,
John Scalzi,John Scalzi is an American science fiction author and former president of the Science Fiction and Fantasy Writers of America.,https://en.wikipedia.org/wiki/John_Scalzi,//www.instagram.com/jscalzi,//www.twitter.com/scalzi,,
John Grisham,"John Grisham is an American novelist, attorney, politician, and activist, best known for his popular legal thrillers.",https://en.wikipedia.org/wiki/John_Grisham,//www.instagram.com/johngrisham,//www.twitter.com/JohnGrisham,,
Jodi Picoult,Jodi Picoult is an American writer.,https://en.wikipedia.org/wiki/Jodi_Picoult,//www.instagram.com/jodipicoult,//www.twitter.com/jodipicoult,,
Jeremy Clarkson,"Jeremy Clarkson is an English broadcaster, journalist, farmer, game show host and writer who specialises in motoring.",https://en.wikipedia.org/wiki/Jeremy_Clarkson,//www.instagram.com/jeremyclarkson1,//www.twitter.com/JeremyClarkson,,
Robert Rodriguez,Robert Rodriguez is an American filmmaker and visual effects supervisor.,https://en.wikipedia.org/wiki/Robert_Rodriguez,//www.instagram.com/rodriguez,//www.twitter.com/Rodriguez,,
James Dashner,"James Dashner is an American writer of speculative fiction, primarily series for children or young adults.",https://en.wikipedia.org/wiki/James_Dashner,//www.instagram.com/dashnerjames,//www.twitter.com/jamesdashner,,
Charlize Theron,Charlize Theron is a South African and American actress and producer.,https://en.wikipedia.org/wiki/Charlize_Theron,//www.instagram.com/charlizeafrica,//www.twitter.com/CharlizeAfrica,,
Irvine Welsh,"Irvine Welsh is a Scottish novelist, playwright and short story writer.",https://en.wikipedia.org/wiki/Irvine_Welsh,//www.instagram.com/irvine.welsh,//www.twitter.com/IrvineWelsh,,
Grant Cardone,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/grantcardone,//www.twitter.com/GrantCardone,,
Richard Betts,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/yobetts,//www.twitter.com/yobetts,,
Donald Miller,"Donald Miller is an American author, public speaker, and business owner.",https://en.wikipedia.org/wiki/Donald_Miller_(author),//www.instagram.com/donaldmiller,//www.twitter.com/donaldmiller,,
Deborah Harkness,"Deborah Harkness is an American scholar, novelist and wine enthusiast.",https://en.wikipedia.org/wiki/Deborah_Harkness,//www.instagram.com/debharkness,//www.twitter.com/DebHarkness,,
Courtney Milan,"Courtney Milan, a pseudonym for Heidi Bond, is a bestselling American author of historical and contemporary romance novels.",https://en.wikipedia.org/wiki/Courtney_Milan,,//www.twitter.com/courtneymilan,,
Christopher Paolini,Christopher Paolini is an American author.,https://en.wikipedia.org/wiki/Christopher_Paolini,//www.instagram.com/christopher_paolini,//www.twitter.com/paolini,,
Bret Easton Ellis,"Bret Easton Ellis is an American author, screenwriter, short-story writer, and director.",https://en.wikipedia.org/wiki/Bret_Easton_Ellis,//www.instagram.com/breteastonellis,//www.twitter.com/BretEastonEllis,,
