Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Mark Bell,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/marksmellybell,//www.twitter.com/MarkSmellyBell,,
Alice Little,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/thealicelittleofficial,//www.twitter.com/TheAliceLittle,,
Maria Sharapova,Maria Sharapova is a Russian professional tennis player.,https://en.wikipedia.org/wiki/Maria_Sharapova,//www.instagram.com/mariasharapova,//www.twitter.com/MariaSharapova,,
Alex Honnold,Alexander Honnold is an American rock climber best known for his free solo ascents of big walls.,https://en.wikipedia.org/wiki/Alex_Honnold,//www.instagram.com/alexhonnold,//www.twitter.com/AlexHonnold,,
Alain de Botton,Alain de Botton is a Swiss-born British philosopher and author.,https://en.wikipedia.org/wiki/Alain_de_Botton,//www.instagram.com/alain_de_botton,,,
M. Sanjayan,M.,https://en.wikipedia.org/wiki/M._Sanjayan,//www.instagram.com/msanjayan,//www.twitter.com/msanjayan,,
Linda Sarsour,Linda Sarsour is an American political activist.,https://en.wikipedia.org/wiki/Linda_Sarsour,//www.instagram.com/lsarsour,//www.twitter.com/lsarsour,,
Susan Wojcicki,Susan Wojcicki is an American-Polish business executive who serves as the CEO of YouTube.,https://en.wikipedia.org/wiki/Susan_Wojcicki,//www.instagram.com/susanwojcicki,//www.twitter.com/SusanWojcicki,,
Leigh Bardugo,Leigh Bardugo is an Israeli-American fantasy author.,https://en.wikipedia.org/wiki/Leigh_Bardugo,//www.instagram.com/lbardugo,//www.twitter.com/LBardugo,,
Laura Ingraham,Laura Ingraham is an American conservative television host.,https://en.wikipedia.org/wiki/Laura_Ingraham,//www.instagram.com/ingrahamradio,//www.twitter.com/IngrahamAngle,,
Kyle Maynard,"Kyle Maynard is a speaker, author, and mixed martial arts athlete.",https://en.wikipedia.org/wiki/Kyle_Maynard,//www.instagram.com/kylemaynard,//www.twitter.com/kylemaynard,,
Kevin Smith,"Kevin Smith is an American filmmaker, actor, comedian, comic book writer, author, YouTuber, and podcaster.",https://en.wikipedia.org/wiki/Kevin_Smith,//www.instagram.com/thatkevinsmith,//www.twitter.com/ThatKevinSmith,,
Kristen Ulmer,Kristen Ulmer is a former professional extreme skier who retired in 2003 to study and teach about fear.,https://en.wikipedia.org/wiki/Kristen_Ulmer,//www.instagram.com/kristen.ulmer,//www.twitter.com/kristenulmer,,
Karen Kilgariff,"Karen Kilgariff is an American writer, comedian, singer, author, actress, television producer, and podcast host.",https://en.wikipedia.org/wiki/Karen_Kilgariff,,//www.twitter.com/KarenKilgariff,,
Justin Kan,Justin Kan is an American internet entrepreneur and investor.,https://en.wikipedia.org/wiki/Justin_Kan,//www.instagram.com/justinkan,//www.twitter.com/justinkan,,
Josh Marshall,Josh Marshall is an American journalist and blogger who founded Talking Points Memo.,https://en.wikipedia.org/wiki/Josh_Marshall,//www.instagram.com/joshtpm,//www.twitter.com/joshtpm,,
Khloé Kardashian,"Khloé Kardashian is an American media personality, socialite, and model.",https://en.wikipedia.org/wiki/Khlo%C3%A9_Kardashian,//www.instagram.com/khloekardashian,//www.twitter.com/khloekardashian,,
Jonathan Haidt,Jonathan Haidt is an American social psychologist and author.,https://en.wikipedia.org/wiki/Jonathan_Haidt,,//www.twitter.com/JonHaidt,,
John Mayer,"John Mayer is an American singer, songwriter, and guitarist.",https://en.wikipedia.org/wiki/John_Mayer,//www.instagram.com/johnmayer,//www.twitter.com/JohnMayer,,
John Leguizamo,"John Leguizamo is an American actor, comedian, and film producer.",https://en.wikipedia.org/wiki/John_Leguizamo,//www.instagram.com/johnleguizamo,//www.twitter.com/JohnLeguizamo,,
John Hodgman,"John Hodgman is an American author, actor, and humorist.",https://en.wikipedia.org/wiki/John_Hodgman,//www.instagram.com/johnhodgman,//www.twitter.com/hodgman,,
Ken Block,Ken Block is a professional rally driver with the Hoonigan Racing Division.,https://en.wikipedia.org/wiki/Ken_Block,//www.instagram.com/kblock43,//www.twitter.com/kblock43,,
John Bartholomew,"John Bartholomew is an American chess player, International Master, YouTuber and entrepreneur.",https://en.wikipedia.org/wiki/John_Bartholomew_(chess_player),//www.instagram.com/johnny_bart,//www.twitter.com/fins0905,,
Joe Hill,Joe Hill is an American writer.,https://en.wikipedia.org/wiki/Joe_Hill_(writer),//www.instagram.com/joe_hill,//www.twitter.com/joe_hill,,
