Name,Link,Number of Books,Image URL
Hugh Jackman,https://www.mostrecommendedbooks.com/hugh-jackman-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Hugh%20Jackman.png
Dan Carlin,https://www.mostrecommendedbooks.com/dan-carlin-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dan%20Carlin.jpg
Stewart Butterfield,https://www.mostrecommendedbooks.com/stewart-butterfield-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Stewart%20Butterfield.jpg
Nolan Bushnell,https://www.mostrecommendedbooks.com/nolan-bushnell-books,18,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Nolan%20Bushnell.jpg
Wim Hof,https://www.mostrecommendedbooks.com/wim-hof-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Wim%20Hof.jpg
Whitney Cummings,https://www.mostrecommendedbooks.com/whitney-cummings-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Whitney%20Cummings.jpg
Eric Schmidt,https://www.mostrecommendedbooks.com/eric-schmidt-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Eric%20Schmidt.jpeg
Eric Ripert,https://www.mostrecommendedbooks.com/eric-ripert-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Eric%20Ripert.png
Ed Latimore,https://www.mostrecommendedbooks.com/ed-latimore-books,36,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ed%20Latimore.png
Drew Houston,https://www.mostrecommendedbooks.com/drew-houston-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Drew%20Houston.png
Doris Kearns Goodwin,https://www.mostrecommendedbooks.com/doris-kearns-goodwin-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Doris%20Kearns%20Goodwin.png
Ta-Nehisi Coates,https://www.mostrecommendedbooks.com/ta-nehisi-coates-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ta-Nehisi%20Coates.jpg
Daymond John,https://www.mostrecommendedbooks.com/daymond-john-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Daymond%20John.png
Soman Chainani,https://www.mostrecommendedbooks.com/soman-chainani-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Soman%20Chainani.jpg
Chip Conley,https://www.mostrecommendedbooks.com/chip-conley-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chip%20Conley.jpg
Chelsea Handler,https://www.mostrecommendedbooks.com/chelsea-handler-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chelsea%20Handler.jpg
Chase Jarvis,https://www.mostrecommendedbooks.com/chase-jarvis-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chase%20Jarvis.jpg
Charles Poliquin,https://www.mostrecommendedbooks.com/charles-poliquin-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Charles%20Poliquin.jpeg
Brandon Stanton,https://www.mostrecommendedbooks.com/brandon-stanton-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Brandon%20Stanton.jpeg
Bob Iger,https://www.mostrecommendedbooks.com/bob-iger-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bob%20Iger.jpg
Neville Medhora,https://www.mostrecommendedbooks.com/neville-medhora-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Neville%20Medhora.png
Michael Gervais,https://www.mostrecommendedbooks.com/michael-gervais-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Michael%20Gervais.png
Ann Miura-Ko,https://www.mostrecommendedbooks.com/ann-miura-ko-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ann%20Miura-Ko.png
Lisa Ling,https://www.mostrecommendedbooks.com/lisa-ling-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Lisa%20Ling.png
A.J. Jacobs,https://www.mostrecommendedbooks.com/aj-jacobs-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_A.J.%20Jacobs.jpg
Larry King,https://www.mostrecommendedbooks.com/larry-king-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Larry%20King.png
Krista Tippett,https://www.mostrecommendedbooks.com/krista-tippett-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Krista%20Tippett.png
Kanye West,https://www.mostrecommendedbooks.com/kanye-west-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kanye%20West.jpeg
Cameron Winklevoss,https://www.mostrecommendedbooks.com/cameron-winklevoss-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Cameron%20Winklevoss.jpg
John Carmack,https://www.mostrecommendedbooks.com/john-carmack-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_John%20Carmack.png
Barry Silbert,https://www.mostrecommendedbooks.com/barry-silbert-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Barry%20Silbert.jpg
Jennifer Lawrence,https://www.mostrecommendedbooks.com/jennifer-lawrence-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jennifer%20Lawrence.jpg
Jason Silva,https://www.mostrecommendedbooks.com/jason-silva-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jason%20Silva.jpg
Jack Kornfield,https://www.mostrecommendedbooks.com/jack-kornfield-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jack%20Kornfield.png
Gary Vaynerchuk,https://www.mostrecommendedbooks.com/gary-vaynerchuk-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Gary%20Vaynerchuk.png
Zooko Wilcox,https://www.mostrecommendedbooks.com/zooko-wilcox-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Zooko%20Wilcox.jpg
Yuval Noah Harari,https://www.mostrecommendedbooks.com/yuval-noah-harari-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Yuval%20Noah%20Harari.jpg
Ellen DeGeneres,https://www.mostrecommendedbooks.com/ellen-degeneres-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ellen%20DeGeneres.png
Dr. Gabor Maté,https://www.mostrecommendedbooks.com/dr-gabor-mate-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dr.%20Gabor%20Mat%C3%A9.png
Dr. Andrew Weil,https://www.mostrecommendedbooks.com/dr-andrew-weil-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dr.%20Andrew%20Weil.png
Susan Cain,https://www.mostrecommendedbooks.com/susan-cain-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Susan%20Cain.jpg
Dominic D'Agostino,https://www.mostrecommendedbooks.com/dominic-dagostino-books,16,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dominic%20D'Agostino.png
DJ Vlad,https://www.mostrecommendedbooks.com/dj-vlad-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_DJ%20Vlad.png
Steve Jurvetson,https://www.mostrecommendedbooks.com/steve-jurvetson-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Steve%20Jurvetson.jpg
David Blaine,https://www.mostrecommendedbooks.com/david-blaine-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_David%20Blaine.jpeg
Darren Aronofsky,https://www.mostrecommendedbooks.com/darren-aronofsky-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Darren%20Aronofsky.png
Scott Belsky,https://www.mostrecommendedbooks.com/scott-belsky-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Scott%20Belsky.png
Safi Bahcall,https://www.mostrecommendedbooks.com/safi-bahcall-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Safi%20Bahcall.png
Ricardo Semler,https://www.mostrecommendedbooks.com/ricardo-semler-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ricardo%20Semler.png
Reed Hastings,https://www.mostrecommendedbooks.com/reed-hastings-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Reed%20Hastings.png
Rainn Wilson,https://www.mostrecommendedbooks.com/rainn-wilson-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Rainn%20Wilson.png
Peter Mallouk,https://www.mostrecommendedbooks.com/peter-mallouk-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Peter%20Mallouk.jpg
Brian Chesky,https://www.mostrecommendedbooks.com/brian-chesky-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Brian%20Chesky.jpg
Peter Diamandis,https://www.mostrecommendedbooks.com/peter-diamandis-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Peter%20Diamandis.png
Big Sean,https://www.mostrecommendedbooks.com/big-sean-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Big%20Sean.jpg
Arnold Schwarzenegger,https://www.mostrecommendedbooks.com/arnold-schwarzenegger-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Arnold%20Schwarzenegger.jpg
Andrew Ng,https://www.mostrecommendedbooks.com/andrew-ng-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Andrew%20Ng.jpg
Liz Lambert,https://www.mostrecommendedbooks.com/liz-lambert-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Liz%20Lambert.png
Liv Boeree,https://www.mostrecommendedbooks.com/liv-boeree-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Liv%20Boeree.png
Aaron Levie,https://www.mostrecommendedbooks.com/aaron-levie-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Aaron%20Levie.jpg
Kishore Biyani,https://www.mostrecommendedbooks.com/kishore-biyani-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kishore%20Biyani.png
Kelly Starrett,https://www.mostrecommendedbooks.com/kelly-starrett-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kelly%20Starrett.png
Mike Novogratz,https://www.mostrecommendedbooks.com/mike-novogratz-books,9,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Mike%20Novogratz.jpg
Lloyd Blankfein,https://www.mostrecommendedbooks.com/lloyd-blankfein-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Lloyd%20Blankfein.jpg
Daniel Gross,https://www.mostrecommendedbooks.com/daniel-gross-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Daniel%20Gross.jpg
Chamath Palihapitiya,https://www.mostrecommendedbooks.com/chamath-palihapitiya-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chamath%20Palihapitiya.jpg
Jon Favreau,https://www.mostrecommendedbooks.com/jon-favreau-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jon%20Favreau.png
Bill Miller,https://www.mostrecommendedbooks.com/bill-miller-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bill%20Miller.jpeg
Jim Kwik,https://www.mostrecommendedbooks.com/jim-kwik-books,17,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jim%20Kwik.png
Jason Fried,https://www.mostrecommendedbooks.com/jason-fried-books,15,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jason%20Fried.png
Evan Goldberg,https://www.mostrecommendedbooks.com/evan-goldberg-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Evan%20Goldberg.png
Vlad Tenev,https://www.mostrecommendedbooks.com/vlad-tenev-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Vlad%20Tenev.jpg
Travis Kalanick,https://www.mostrecommendedbooks.com/travis-kalanick-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Travis%20Kalanick.jpg
Edward Norton,https://www.mostrecommendedbooks.com/edward-norton-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Edward%20Norton.png
Ed Cooke,https://www.mostrecommendedbooks.com/ed-cooke-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ed%20Cooke.png
Terry Crews,https://www.mostrecommendedbooks.com/terry-crews-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Terry%20Crews.jpg
Tara Brach,https://www.mostrecommendedbooks.com/tara-brach-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tara%20Brach.jpg
Demis Hassabis,https://www.mostrecommendedbooks.com/demis-hassabis-books,22,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Demis%20Hassabis.png
Sophia Amoruso,https://www.mostrecommendedbooks.com/sophia-amoruso-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Sophia%20Amoruso.jpg
Shay Carl,https://www.mostrecommendedbooks.com/shay-carl-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Shay%20Carl.png
David Allen,https://www.mostrecommendedbooks.com/david-allen-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_David%20Allen.png
Seth Rogen,https://www.mostrecommendedbooks.com/seth-rogen-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Seth%20Rogen.png
Craig Newmark,https://www.mostrecommendedbooks.com/craig-newmark-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Craig%20Newmark.png
Sam Kass,https://www.mostrecommendedbooks.com/sam-kass-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Sam%20Kass.png
Cory Booker,https://www.mostrecommendedbooks.com/cory-booker-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Cory%20Booker.png
Chris Anderson,https://www.mostrecommendedbooks.com/chris-anderson-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chris%20Anderson.jpg
Cheryl Strayed,https://www.mostrecommendedbooks.com/cheryl-strayed-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Cheryl%20Strayed.jpg
Caroline Paul,https://www.mostrecommendedbooks.com/caroline-paul-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Caroline%20Paul.jpg
Carlos Santana,https://www.mostrecommendedbooks.com/carlos-santana-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Carlos%20Santana.png
Cal Fussman,https://www.mostrecommendedbooks.com/cal-fussman-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Cal%20Fussman.jpg
B.J. Novak,https://www.mostrecommendedbooks.com/bj-novak-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_B.J.%20Novak.jpg
Ayaan Hirsi Ali,https://www.mostrecommendedbooks.com/ayaan-hirsi-ali-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ayaan%20Hirsi%20Ali.jpg
Mike Shinoda,https://www.mostrecommendedbooks.com/mike-shinoda-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Mike%20Shinoda.png
Michael Bloomberg,https://www.mostrecommendedbooks.com/michael-bloomberg-books,22,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Michael%20Bloomberg.png
Alicia Keys,https://www.mostrecommendedbooks.com/alicia-keys-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Alicia%20Keys.jpg
Marc Goodman,https://www.mostrecommendedbooks.com/marc-goodman-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Marc%20Goodman.png
LeBron James,https://www.mostrecommendedbooks.com/lebron-james-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_LeBron%20James.png
Laura R Walker,https://www.mostrecommendedbooks.com/laura-r-walker-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Laura%20R%20Walker.png
Tim Cook,https://www.mostrecommendedbooks.com/tim-cook-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tim%20Cook.jpg
Peter Schiff,https://www.mostrecommendedbooks.com/peter-schiff-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Peter%20Schiff.jpg
Paul Tudor Jones,https://www.mostrecommendedbooks.com/paul-tudor-jones-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Paul%20Tudor%20Jones.jpg
Keanu Reeves,https://www.mostrecommendedbooks.com/keanu-reeves-books,2,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Keanu%20Reeves.png
Justin Boreta,https://www.mostrecommendedbooks.com/justin-boreta-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Justin%20Boreta.png
Julie Rice,https://www.mostrecommendedbooks.com/julie-rice-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Julie%20Rice.png
Julia Galef,https://www.mostrecommendedbooks.com/julia-galef-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Julia%20Galef.png
David Sacks,https://www.mostrecommendedbooks.com/david-sacks-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_David%20Sacks.jpg
Joseph Gordon-Levitt,https://www.mostrecommendedbooks.com/joseph-gordon-levitt-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Joseph%20Gordon-Levitt.png
John Legend,https://www.mostrecommendedbooks.com/john-legend-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_John%20Legend.png
Joel McHale,https://www.mostrecommendedbooks.com/joel-mchale-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Joel%20McHale.png
Joe Gebbia,https://www.mostrecommendedbooks.com/joe-gebbia-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Joe%20Gebbia.png
Joe De Sena,https://www.mostrecommendedbooks.com/joe-de-sena-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Joe%20De%20Sena.png
Jimmy Chin,https://www.mostrecommendedbooks.com/jimmy-chin-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jimmy%20Chin.png
Jesse Williams,https://www.mostrecommendedbooks.com/jesse-williams-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jesse%20Williams.png
Jerry Colonna,https://www.mostrecommendedbooks.com/jerry-colonna-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jerry%20Colonna.png
Jerrod Carmichael,https://www.mostrecommendedbooks.com/jerrod-carmichael-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jerrod%20Carmichael.png
Jeff Dean,https://www.mostrecommendedbooks.com/jeff-dean-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jeff%20Dean.png
Jane McGonigal,https://www.mostrecommendedbooks.com/jane-mcgonigal-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jane%20McGonigal.png
James Cameron,https://www.mostrecommendedbooks.com/james-cameron-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_James%20Cameron.png
Jacqueline Novogratz,https://www.mostrecommendedbooks.com/jacqueline-novogratz-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jacqueline%20Novogratz.png
J. Cole,https://www.mostrecommendedbooks.com/j-cole-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_J.%20Cole.png
Howard Schultz,https://www.mostrecommendedbooks.com/howard-schultz-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Howard%20Schultz.png
Greg McKeown,https://www.mostrecommendedbooks.com/greg-mckeown-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Greg%20McKeown.png
Bernie Sanders,https://www.mostrecommendedbooks.com/bernie-sanders-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bernie%20Sanders.png
Asha Rangappa,https://www.mostrecommendedbooks.com/asha-rangappa-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Asha%20Rangappa.jpg
Frank Blake,https://www.mostrecommendedbooks.com/frank-blake-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Frank%20Blake.png
Evan Spiegel,https://www.mostrecommendedbooks.com/evan-spiegel-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Evan%20Spiegel.png
Will Smith,https://www.mostrecommendedbooks.com/will-smith-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Will%20Smith.jpg
Will MacAskill,https://www.mostrecommendedbooks.com/will-macaskill-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Will%20MacAskill.jpg
Whitney Wolfe Herd,https://www.mostrecommendedbooks.com/whitney-wolfe-herd-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Whitney%20Wolfe%20Herd.jpg
Emilia Clarke,https://www.mostrecommendedbooks.com/emilia-clarke-books,2,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Emilia%20Clarke.png
Turia Pitt,https://www.mostrecommendedbooks.com/turia-pitt-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Turia%20Pitt.jpg
Travis Brewer,https://www.mostrecommendedbooks.com/travis-brewer-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Travis%20Brewer.jpg
Ed Zschau,https://www.mostrecommendedbooks.com/ed-zschau-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ed%20Zschau.png
Dwayne Johnson,https://www.mostrecommendedbooks.com/dwayne-johnson-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dwayne%20Johnson.png
Doug McMillon,https://www.mostrecommendedbooks.com/doug-mcmillon-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Doug%20McMillon.png
Suzy Amis Cameron,https://www.mostrecommendedbooks.com/suzy-amis-cameron-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Suzy%20Amis%20Cameron.jpg
Donald Glover,https://www.mostrecommendedbooks.com/donald-glover-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Donald%20Glover.png
Steven Pressfield,https://www.mostrecommendedbooks.com/steven-pressfield-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Steven%20Pressfield.jpg
Dita Von Teese,https://www.mostrecommendedbooks.com/dita-von-teese-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dita%20Von%20Teese.png
Steve Aoki,https://www.mostrecommendedbooks.com/steve-aoki-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Steve%20Aoki.jpg
Stephen Dubner,https://www.mostrecommendedbooks.com/stephen-dubner-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Stephen%20Dubner.jpg
Debbie Millman,https://www.mostrecommendedbooks.com/debbie-millman-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Debbie%20Millman.png
David Lynch,https://www.mostrecommendedbooks.com/david-lynch-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_David%20Lynch.png
Dave Chappelle,https://www.mostrecommendedbooks.com/dave-chappelle-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dave%20Chappelle.png
Dave Camarillo,https://www.mostrecommendedbooks.com/dave-camarillo-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dave%20Camarillo.png
Sergey Brin,https://www.mostrecommendedbooks.com/sergey-brin-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Sergey%20Brin.png
Chris Young,https://www.mostrecommendedbooks.com/chris-young-books,7,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chris%20Young.png
Ryan Shea,https://www.mostrecommendedbooks.com/ryan-shea-books,51,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ryan%20Shea.png
Ryan Flaherty,https://www.mostrecommendedbooks.com/ryan-flaherty-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ryan%20Flaherty.png
Rick Rubin,https://www.mostrecommendedbooks.com/rick-rubin-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Rick%20Rubin.png
Richa Chadha,https://www.mostrecommendedbooks.com/richa-chadha-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Richa%20Chadha.png
Phil Libin,https://www.mostrecommendedbooks.com/phil-libin-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Phil%20Libin.png
Brian Cox,https://www.mostrecommendedbooks.com/brian-cox-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Brian%20Cox.jpg
Pavel Tsatsouline,https://www.mostrecommendedbooks.com/pavel-tsatsouline-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Pavel%20Tsatsouline.png
Paul Stamets,https://www.mostrecommendedbooks.com/paul-stamets-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Paul%20Stamets.png
Bob Dylan,https://www.mostrecommendedbooks.com/bob-dylan-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bob%20Dylan.jpg
Nick Thompson,https://www.mostrecommendedbooks.com/nick-thompson-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Nick%20Thompson.png
Nick Kokonas,https://www.mostrecommendedbooks.com/nick-kokonas-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Nick%20Kokonas.png
Nick Ganju,https://www.mostrecommendedbooks.com/nick-ganju-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Nick%20Ganju.png
Ben Stiller,https://www.mostrecommendedbooks.com/ben-stiller-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ben%20Stiller.jpg
Michael McCullough,https://www.mostrecommendedbooks.com/michael-mccullough-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Michael%20McCullough.png
Anna Kendrick,https://www.mostrecommendedbooks.com/anna-kendrick-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Anna%20Kendrick.jpeg
Maurice Ashley,https://www.mostrecommendedbooks.com/maurice-ashley-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Maurice%20Ashley.png
Mark Bittman,https://www.mostrecommendedbooks.com/mark-bittman-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Mark%20Bittman.png
Amelia Boone,https://www.mostrecommendedbooks.com/amelia-boone-books,6,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Amelia%20Boone.jpg
Mark Bell,https://www.mostrecommendedbooks.com/mark-bell-books,5,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Mark%20Bell.png
Alice Little,https://www.mostrecommendedbooks.com/alice-little-books,4,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Alice%20Little.jpg
